,predicted range
961,-0.9568179999999984
962,-0.9453889999999987
963,-0.9550359999999998
964,-0.9634040000000006
965,-0.9677260000000025
966,-0.9708919999999992
967,-0.9603400000000022
968,-0.9664920000000023
969,-0.9614309999999975
970,-0.9730759999999989
971,-0.966232999999999
972,-0.9620889999999989
973,-0.9541839999999979
974,-0.970913999999997
975,-0.9519249999999992
976,-0.954777
977,-0.9532929999999986
978,-0.9629360000000027
979,-0.9615039999999979
980,-0.9603540000000024
981,-0.9790510000000019
982,-0.9820780000000013
983,-0.9936030000000002
984,-0.9973519999999994
985,-1.0166399999999989
986,-1.0154340000000026
987,-1.025264
988,-1.025079999999999
989,-1.029838999999999
990,-1.032318
991,-1.029478000000001
992,-1.0357169999999982
993,-1.0362170000000006
994,-1.0377909999999986
995,-1.0476600000000005
996,-1.0489549999999994
997,-1.0397300000000023
998,-1.039396
999,-1.0361839999999987
1000,-1.0406719999999972
1001,-1.0355990000000013
1002,-1.0451189999999997
1003,-1.030850000000001
1004,-1.032748999999999
1005,-1.0341029999999982
1006,-1.0305269999999993
1007,-1.017597000000002
1008,-1.0112330000000007
1009,-1.0151179999999975
1010,-0.9964569999999995
1011,-1.0002700000000004
1012,-1.0130230000000005
1013,-1.0171910000000004
1014,-1.0333140000000007
1015,-1.0378459999999983
1016,-1.0381199999999993
1017,-1.041606999999999
1018,-1.0426099999999998
1019,-1.0472110000000008
1020,-1.0536199999999987
1021,-1.0488539999999986
1022,-1.0432680000000012
1023,-1.0406799999999983
1024,-1.069154000000001
1025,-1.103232000000002
1026,-1.104883000000001
1027,-1.1315460000000002
1028,-1.1356000000000002
1029,-1.1387940000000008
1030,-1.1239779999999975
1031,-1.1356939999999973
1032,-1.1189839999999975
1033,-1.1187470000000026
1034,-1.1205989999999986
1035,-1.1067389999999975
1036,-1.1245500000000028
1037,-1.116142
1038,-1.1206720000000026
1039,-1.1235269999999993
1040,-1.132193000000001
1041,-1.1397310000000012
1042,-1.1466920000000016
1043,-1.173565
1044,-1.1734600000000022
1045,-1.158066999999999
1046,-1.1605500000000006
1047,-1.1636419999999994
1048,-1.1690679999999993
1049,-1.1739619999999995
1050,-1.1744800000000026
1051,-1.1834670000000003
1052,-1.2029399999999981
1053,-1.2200980000000001
1054,-1.2129280000000016
1055,-1.2110590000000023
1056,-1.213359999999998
1057,-1.2030829999999995
1058,-1.2158870000000022
1059,-1.2210619999999999
1060,-1.2353329999999971
1061,-1.217222999999997
1062,-1.2217279999999988
1063,-1.237798999999999
1064,-1.2494119999999995
1065,-1.2486039999999967
1066,-1.2371400000000001
1067,-1.2333400000000019
1068,-1.236263000000001
1069,-1.2260479999999987
1070,-1.225197999999999
1071,-1.2325929999999978
1072,-1.2459589999999992
1073,-1.257165999999998
1074,-1.2572170000000007
1075,-1.2750839999999997
1076,-1.2804760000000002
1077,-1.282347999999999
1078,-1.288525
1079,-1.2928079999999973
1080,-1.2968480000000007
1081,-1.2897859999999994
1082,-1.2864570000000022
1083,-1.2950349999999986
1084,-1.2880249999999975
1085,-1.2916189999999972
1086,-1.2964959999999977
1087,-1.2937890000000003
1088,-1.3012560000000022
1089,-1.2948570000000004
1090,-1.30537
1091,-1.3177950000000003
1092,-1.3152430000000024
1093,-1.3301000000000016
1094,-1.3305949999999989
1095,-1.3527720000000016
1096,-1.3545310000000015
1097,-1.3621820000000007
1098,-1.3428760000000004
1099,-1.3430229999999987
1100,-1.3407289999999996
1101,-1.3371330000000015
1102,-1.3418759999999992
1103,-1.3345379999999984
1104,-1.3319690000000008
1105,-1.3302370000000003
1106,-1.3401330000000016
1107,-1.3550429999999984
1108,-1.3596259999999987
1109,-1.377008
1110,-1.3782749999999986
1111,-1.4150929999999988
1112,-1.394797999999998
1113,-1.3939540000000008
1114,-1.3911930000000012
1115,-1.413494
1116,-1.4227659999999993
1117,-1.438917
1118,-1.4427319999999995
1119,-1.445881
1120,-1.4499819999999985
1121,-1.4742400000000018
1122,-1.462209999999999
1123,-1.491503999999999
1124,-1.4886900000000018
1125,-1.5088159999999995
1126,-1.479659999999999
1127,-1.4947179999999989
1128,-1.5101200000000006
1129,-1.5618170000000013
1130,-1.5360250000000022
1131,-1.538053999999999
1132,-1.5516240000000003
1133,-1.5698429999999988
1134,-1.5721729999999994
1135,-1.5649979999999992
1136,-1.5437319999999985
1137,-1.547467000000001
1138,-1.5621030000000005
1139,-1.5385019999999976
1140,-1.530342000000001
1141,-1.5404889999999973
1142,-1.5685779999999987
1143,-1.5730369999999994
1144,-1.5819019999999995
1145,-1.5729490000000013
1146,-1.57348
1147,-1.5797729999999994
1148,-1.5847629999999988
1149,-1.590999
1150,-1.5870400000000018
1151,-1.57404
1152,-1.5582680000000018
1153,-1.5584300000000013
1154,-1.561237000000002
1155,-1.5709070000000018
1156,-1.5698809999999987
1157,-1.5724599999999995
1158,-1.5821660000000008
1159,-1.5795309999999994
1160,-1.5837299999999992
1161,-1.5967300000000009
1162,-1.600086000000001
1163,-1.6018439999999998
1164,-1.6098200000000027
1165,-1.6190069999999999
1166,-1.6130120000000012
1167,-1.6093350000000015
1168,-1.6171190000000024
1169,-1.6215860000000006
1170,-1.6407370000000014
1171,-1.6369110000000013
1172,-1.6552620000000005
1173,-1.6565800000000017
1174,-1.655145000000001
1175,-1.6539380000000001
1176,-1.6641650000000006
1177,-1.6346990000000012
1178,-1.6372599999999977
1179,-1.652084000000002
1180,-1.6561109999999992
1181,-1.6576199999999979
1182,-1.6666600000000003
1183,-1.6670970000000018
1184,-1.6869429999999994
1185,-1.6954860000000025
1186,-1.6972999999999985
1187,-1.7072380000000003
1188,-1.7038769999999985
1189,-1.7129769999999986
1190,-1.72241
1191,-1.7393259999999984
1192,-1.762945000000002
1193,-1.7985040000000012
1194,-1.792304999999999
1195,-1.8192599999999999
1196,-1.8237020000000008
1197,-1.8276959999999995
1198,-1.8460070000000002
1199,-1.8453969999999984
1200,-1.8384549999999997
1201,-1.862296999999998
1202,-1.8724179999999997
1203,-1.8789750000000005
1204,-1.8882010000000022
1205,-1.889557
1206,-1.8863219999999998
1207,-1.8711240000000018
1208,-1.8665330000000004
