Date,Volume,Guess Volume
2019-04-18,299652000.0,5.009578
2019-04-22,299916000.0,5.0159664
2019-04-23,300087400.0,5.0206523
2019-04-24,300188000.0,5.022933
2019-04-25,300425000.0,5.0286436
2019-04-26,300868000.0,5.0397587
2019-04-29,301584000.0,5.0576525
2019-04-30,301811000.0,5.0633144
2019-05-01,302332000.0,5.075627
2019-05-02,302582900.0,5.0813384
2019-05-03,302589900.0,5.081674
2019-05-06,303134600.0,5.0941105
2019-05-07,303408000.0,5.1004725
2019-05-08,303488000.0,5.1024733
2019-05-09,303582000.0,5.1045027
2019-05-10,303741000.0,5.1081467
2019-05-13,303880000.0,5.111387
2019-05-14,304722000.0,5.1301146
2019-05-15,305536000.0,5.148324
2019-05-16,306216000.0,5.1635313
2019-05-17,306535000.0,5.170985
2019-05-20,306592000.0,5.172393
2019-05-21,306850700.0,5.178562
2019-05-22,307124000.0,5.1844044
2019-05-23,307440000.0,5.1920967
2019-05-24,308080000.0,5.206724
2019-05-28,308276000.0,5.211051
2019-05-29,308432000.0,5.2145834
2019-05-30,308864000.0,5.2242603
2019-05-31,308880000.0,5.2245517
2019-06-03,309124000.0,5.2300167
2019-06-04,309300000.0,5.2341213
2019-06-05,309320400.0,5.234759
2019-06-06,310318900.0,5.2570944
2019-06-07,310336000.0,5.257298
2019-06-10,310490000.0,5.26062
2019-06-11,310976000.0,5.271525
2019-06-12,311868000.0,5.290355
2019-06-13,312028000.0,5.293583
2019-06-14,312646700.0,5.305667
2019-06-17,314162700.0,5.3363667
2019-06-18,314378000.0,5.341049
2019-06-19,314776000.0,5.3501606
2019-06-20,314856000.0,5.352039
2019-06-21,314869000.0,5.3522897
2019-06-24,315516700.0,5.3655367
2019-06-25,315892000.0,5.3732185
2019-06-26,315940000.0,5.3742576
2019-06-27,316296000.0,5.3815365
2019-06-28,317268000.0,5.401411
2019-07-01,317556000.0,5.4076033
2019-07-02,317604000.0,5.4082994
2019-07-03,318086700.0,5.418426
2019-07-05,318204000.0,5.4209986
2019-07-08,318208000.0,5.4210873
2019-07-09,318333600.0,5.4238253
2019-07-10,318764000.0,5.4328613
2019-07-11,319028000.0,5.4383917
2019-07-12,319112000.0,5.440053
2019-07-15,319160000.0,5.4417906
2019-07-16,319840000.0,5.455755
2019-07-17,320080000.0,5.461091
2019-07-18,320552000.0,5.471567
2019-07-19,320896000.0,5.4793053
2019-07-22,320924000.0,5.4800715
2019-07-23,320976000.0,5.4812384
2019-07-24,320979500.0,5.4815903
2019-07-25,321196000.0,5.4865227
2019-07-26,321244000.0,5.487521
2019-07-29,321376000.0,5.491146
2019-07-30,321471000.0,5.493533
2019-07-31,321592000.0,5.4959965
2019-08-01,321850000.0,5.501789
2019-08-02,321960000.0,5.5044184
2019-08-05,321984000.0,5.504879
2019-08-06,322149000.0,5.5088515
2019-08-07,322154000.0,5.509491
2019-08-08,322760000.0,5.522938
2019-08-09,322796000.0,5.524066
2019-08-12,323230300.0,5.53401
2019-08-13,323464000.0,5.53932
2019-08-14,323618000.0,5.542898
2019-08-15,323826000.0,5.548116
2019-08-16,323848000.0,5.5485005
2019-08-19,323952000.0,5.5515676
2019-08-20,324176000.0,5.5565853
2019-08-21,324592000.0,5.5661964
2019-08-22,324944000.0,5.57475
2019-08-23,325025000.0,5.576695
2019-08-26,325124000.0,5.579198
2019-08-27,325205000.0,5.581185
2019-08-28,325559900.0,5.5898457
2019-08-29,325721000.0,5.59377
2019-08-30,325868000.0,5.597052
2019-09-03,325884000.0,5.5971622
2019-09-04,326568000.0,5.6135263
2019-09-05,326648000.0,5.6155815
2019-09-06,327776900.0,5.6427574
2019-09-09,327840000.0,5.644825
2019-09-10,327844000.0,5.6449366
2019-09-11,328720000.0,5.665959
2019-09-12,328946000.0,5.671322
2019-09-13,329668000.0,5.688302
2019-09-16,329788000.0,5.6914496
2019-09-17,330792000.0,5.715865
2019-09-18,331194000.0,5.7256603
2019-09-19,331644000.0,5.736633
2019-09-20,331964700.0,5.74445
2019-09-23,332172000.0,5.749465
2019-09-24,332356000.0,5.75402
2019-09-25,333751600.0,5.7892733
2019-09-26,334132000.0,5.798715
2019-09-27,335208000.0,5.826641
2019-09-30,335325000.0,5.829796
2019-10-01,336824000.0,5.86814
2019-10-02,336896000.0,5.8705025
2019-10-03,337780000.0,5.893896
2019-10-04,338012000.0,5.8998985
2019-10-07,338208000.0,5.904998
2019-10-08,339216000.0,5.9314327
2019-10-09,339246400.0,5.9319777
2019-10-10,339282000.0,5.93312
2019-10-11,339756000.0,5.945801
2019-10-14,340340000.0,5.9610815
2019-10-15,341088000.0,5.980398
2019-10-16,341444000.0,5.9896536
2019-10-17,341816000.0,5.999324
2019-10-18,342064000.0,6.005803
2019-10-21,342096000.0,6.0066385
2019-10-22,342248000.0,6.0107293
2019-10-23,342516000.0,6.017967
2019-10-24,342764000.0,6.0246143
2019-10-25,342860000.0,6.0276027
2019-10-28,343022000.0,6.031866
2019-10-29,343069000.0,6.0331836
2019-10-30,343139000.0,6.0350685
2019-10-31,343165000.0,6.035923
2019-11-01,343548000.0,6.0458326
2019-11-04,344000000.0,6.0577745
2019-11-05,344604000.0,6.074138
2019-11-06,344896000.0,6.0833883
2019-11-07,344964000.0,6.0858307
2019-11-08,344979000.0,6.086395
2019-11-11,345103000.0,6.090385
2019-11-12,345508000.0,6.1025915
2019-11-13,345635000.0,6.1063776
2019-11-14,346312000.0,6.1265287
2019-11-15,346500000.0,6.1321898
2019-11-18,346608000.0,6.1356044
2019-11-19,346719000.0,6.1396074
2019-11-20,346856000.0,6.1439366
2019-11-21,346892000.0,6.1452484
2019-11-22,347701000.0,6.1692038
2019-11-25,348081000.0,6.1809626
2019-11-26,348204000.0,6.184843
2019-11-27,348733000.0,6.2012014
2019-11-29,348856000.0,6.2054896
2019-12-02,349256000.0,6.217669
2019-12-03,349326000.0,6.220391
2019-12-04,349440000.0,6.224254
2019-12-05,350168000.0,6.247919
2019-12-06,350244000.0,6.251821
2019-12-09,350792000.0,6.269854
2019-12-10,350823000.0,6.271088
2019-12-11,351004000.0,6.277199
2019-12-12,351066000.0,6.2793665
2019-12-13,351956000.0,6.308964
2019-12-16,352255000.0,6.318719
2019-12-17,352328000.0,6.3210926
2019-12-18,352684000.0,6.3326225
2019-12-19,352694000.0,6.3332915
2019-12-20,352812000.0,6.337967
2019-12-23,352994000.0,6.3449936
2019-12-24,353184000.0,6.351438
2019-12-26,353285000.0,6.357811
2019-12-27,353615000.0,6.368875
2019-12-30,353843000.0,6.3774657
2019-12-31,353908000.0,6.3809004
2020-01-02,354039000.0,6.386366
2020-01-03,354280000.0,6.3958955
2020-01-06,354512000.0,6.4038954
2020-01-07,354620000.0,6.40744
2020-01-08,354829000.0,6.4136286
2020-01-09,354923000.0,6.4170685
2020-01-10,354966800.0,6.419096
2020-01-13,355060000.0,6.4223433
2020-01-14,355616000.0,6.4407845
2020-01-15,355881000.0,6.4495435
2020-01-16,356104000.0,6.458338
2020-01-17,356253000.0,6.4630284
2020-01-21,356268000.0,6.4669237
2020-01-22,357188000.0,6.4974284
2020-01-23,357572000.0,6.509683
2020-01-24,357584000.0,6.5097404
2020-01-27,357800000.0,6.5169787
2020-01-28,357976000.0,6.5235147
2020-01-29,358140000.0,6.529124
2020-01-30,358660000.0,6.546109
2020-01-31,358892000.0,6.5539856
2020-02-03,359088000.0,6.560584
2020-02-04,359224000.0,6.5656595
2020-02-05,359416000.0,6.572397
2020-02-06,359516000.0,6.577235
2020-02-07,359691000.0,6.5834455
2020-02-10,359916000.0,6.5903864
2020-02-11,360016000.0,6.593155
2020-02-12,360456000.0,6.609201
2020-02-13,361026000.0,6.6303415
2020-02-14,361272000.0,6.6400423
2020-02-18,361356000.0,6.6440544
2020-02-19,361494000.0,6.649893
2020-02-20,361512000.0,6.650675
2020-02-21,361821000.0,6.664863
2020-02-24,361848000.0,6.6658354
2020-02-25,362056000.0,6.6734357
2020-02-26,362136000.0,6.6780763
2020-02-27,362666000.0,6.7015533
2020-02-28,362920000.0,6.711948
2020-03-02,362924000.0,6.7122808
2020-03-03,362975900.0,6.7154126
2020-03-04,363252000.0,6.7272353
2020-03-05,363709000.0,6.7474833
2020-03-06,363968000.0,6.759104
2020-03-09,364056000.0,6.7634163
2020-03-10,364237000.0,6.7720222
2020-03-11,364516000.0,6.785527
2020-03-12,365095000.0,6.81205
2020-03-13,365440000.0,6.829301
2020-03-16,365480000.0,6.832213
2020-03-17,365812000.0,6.8467803
2020-03-18,366008000.0,6.8587847
2020-03-19,366148000.0,6.866644
2020-03-20,366236000.0,6.8701854
2020-03-23,366436000.0,6.8837204
2020-03-24,367100500.0,6.915518
2020-03-25,367108000.0,6.9151483
2020-03-26,367209000.0,6.92142
2020-03-27,367292000.0,6.929716
2020-03-30,367508000.0,6.939509
2020-03-31,367632000.0,6.945339
2020-04-01,367892000.0,6.9629335
2020-04-02,368582000.0,7.001712
2020-04-03,368592000.0,7.003372
2020-04-06,368844000.0,7.0179386
2020-04-07,368896000.0,7.02256
2020-04-08,369146000.0,7.0407515
2020-04-09,369317000.0,7.0519648
2020-04-13,369350000.0,7.055128
2020-04-14,369448000.0,7.0623684
2020-04-15,369780000.0,7.0903125
2020-04-16,369986000.0,7.104608
2020-04-17,370067000.0,7.1102223
2020-04-20,370097000.0,7.1157675
2020-04-21,370420000.0,7.1358128
2020-04-22,370440000.0,7.1400814
2020-04-23,370453000.0,7.1469345
2020-04-24,371017000.0,7.188562
2020-04-27,371272000.0,7.2063465
2020-04-28,371356000.0,7.2140827
2020-04-29,371389000.0,7.2201004
2020-04-30,371718000.0,7.244808
2020-05-01,372000000.0,7.2709413
2020-05-04,372036000.0,7.2777634
2020-05-05,372387000.0,7.3165603
2020-05-06,372388000.0,7.3257484
2020-05-07,372470300.0,7.3411913
2020-05-08,372560000.0,7.3603673
2020-05-11,373064000.0,7.3893785
2020-05-12,373512000.0,7.427182
2020-05-13,373732000.0,7.4719224
2020-05-14,374460000.0,7.529742
2020-05-15,374600000.0,7.623054
2020-05-18,374644000.0,7.66199
2020-05-19,374756000.0,7.6991544
2020-05-20,374782700.0,7.7422633
2020-05-21,375099000.0,7.787609
2020-05-22,375108000.0,7.7957206
2020-05-26,375208000.0,7.808114
2020-05-27,375824000.0,7.8590617
2020-05-28,375916000.0,7.870672
2020-05-29,376072000.0,7.885808
2020-06-01,376189100.0,7.89907
2020-06-02,376203000.0,7.902768
2020-06-03,376520000.0,7.9315596
2020-06-04,376716000.0,7.9582124
2020-06-05,376868000.0,7.9843707
2020-06-08,376976000.0,8.011019
2020-06-09,377161000.0,8.042894
2020-06-10,377592000.0,8.095376
2020-06-11,377898000.0,8.128323
2020-06-12,378013000.0,8.143345
2020-06-15,378137000.0,8.171497
2020-06-16,378527000.0,8.206463
2020-06-17,378900000.0,8.241685
2020-06-18,379160000.0,8.2749195
2020-06-19,379332000.0,8.296287
2020-06-22,380100000.0,8.362552
2020-06-23,380514000.0,8.408137
2020-06-24,380590000.0,8.433057
2020-06-25,380988000.0,8.484036
2020-06-26,381656000.0,8.559512
2020-06-29,382005000.0,8.591564
2020-06-30,382462400.0,8.639797
2020-07-01,382516000.0,8.650865
2020-07-02,382653000.0,8.695144
2020-07-06,383348000.0,8.807269
2020-07-07,383387000.0,8.838447
2020-07-08,383413000.0,8.879409
2020-07-09,383872000.0,8.934673
2020-07-10,383964000.0,8.948077
2020-07-13,384101000.0,8.98166
2020-07-14,384136000.0,9.005095
2020-07-15,384376000.0,9.026948
2020-07-16,384909000.0,9.0734
2020-07-17,385244000.0,9.111602
2020-07-20,385354000.0,9.141753
2020-07-21,385500000.0,9.163316
2020-07-22,385935000.0,9.202525
2020-07-23,386068000.0,9.217098
2020-07-24,386080000.0,9.228229
2020-07-27,386200000.0,9.243651
2020-07-28,386936000.0,9.308473
2020-07-29,387736000.0,9.376632
2020-07-30,388028000.0,9.419535
2020-07-31,388701000.0,9.473793
2020-08-03,388729000.0,9.550265
2020-08-04,388914000.0,9.617158
2020-08-05,388971000.0,9.647861
2020-08-06,389168000.0,9.679315
2020-08-07,389293000.0,9.698594
2020-08-10,389415000.0,9.728162
2020-08-11,389642000.0,9.766551
2020-08-12,389720000.0,9.792548
2020-08-13,389876000.0,9.825984
2020-08-14,390086200.0,9.8581
2020-08-17,390309000.0,9.889906
2020-08-18,390996000.0,9.95718
2020-08-19,391220000.0,9.981053
2020-08-20,391232000.0,9.992261
2020-08-21,391320000.0,10.02603
2020-08-24,391364000.0,10.076367
2020-08-25,391547000.0,10.104425
2020-08-26,391705000.0,10.131374
2020-08-27,391712000.0,10.142871
2020-08-28,391720000.0,10.163483
2020-08-31,391780000.0,10.174616
2020-09-01,391910000.0,10.201808
2020-09-02,391920000.0,10.207343
2020-09-03,392300000.0,10.239141
2020-09-04,392700000.0,10.269855
2020-09-08,393110000.0,10.304547
2020-09-09,393156000.0,10.312913
2020-09-10,393483000.0,10.344581
2020-09-11,393694000.0,10.373768
2020-09-14,394300000.0,10.423269
2020-09-15,394428000.0,10.438322
2020-09-16,394684000.0,10.468511
2020-09-17,394964000.0,10.494627
2020-09-18,395184000.0,10.512668
2020-09-21,395279000.0,10.5257845
2020-09-22,395574000.0,10.5529375
2020-09-23,395660000.0,10.566484
2020-09-24,395662000.0,10.567437
2020-09-25,395832000.0,10.583433
2020-09-28,396094000.0,10.604009
2020-09-29,396552000.0,10.643017
2020-09-30,397120000.0,10.687408
2020-10-01,397654000.0,10.726201
2020-10-02,397668000.0,10.73021
2020-10-05,397830000.0,10.746688
2020-10-06,397865000.0,10.753938
2020-10-07,397894000.0,10.758679
2020-10-08,398341000.0,10.794841
2020-10-09,398355000.0,10.800506
2020-10-12,398379000.0,10.808961
2020-10-13,398408000.0,10.816649
2020-10-14,398468000.0,10.826842
2020-10-15,398716000.0,10.847962
2020-10-16,399456000.0,10.902981
2020-10-19,399678000.0,10.924004
2020-10-20,400004000.0,10.952412
2020-10-21,400228000.0,10.978366
2020-10-22,400660000.0,11.017087
2020-10-23,400733000.0,11.026776
2020-10-26,400848000.0,11.036963
2020-10-27,401277000.0,11.071129
2020-10-28,401300000.0,11.077315
2020-10-29,401463000.0,11.093984
2020-10-30,401491000.0,11.0973
2020-11-02,401740000.0,11.119557
2020-11-03,401952000.0,11.140267
2020-11-04,402282000.0,11.165767
2020-11-05,402730000.0,11.19949
2020-11-06,402780000.0,11.204344
2020-11-09,403260000.0,11.240818
2020-11-10,403324000.0,11.246478
2020-11-11,403524000.0,11.265115
2020-11-12,403686000.0,11.281178
2020-11-13,403984000.0,11.305085
2020-11-16,404089000.0,11.316294
2020-11-17,404348000.0,11.337415
2020-11-18,404420000.0,11.343959
2020-11-19,404739000.0,11.370423
2020-11-20,404744000.0,11.372867
